Bulk_Order_ID,Style_ID,Production_Date,Daily_Commitment,Plant_Daily_Output,Output_Gap,Gap_Pct,Daily_Damage_Qty,Max_Daily_Damage_Qty,Damage_Ratio,Working_Day_No,Total_Working_Days,Days_Remaining,Day_Progress_Pct,Output_vs_Commit_Ratio,Remaining_Qty,Full_Order_Qty,Required_Daily_Rate,Commitment_Gap_Rate,Cumulative_Completed_Qty,Is_Cutting_Phase,Is_Sewing_Phase,History_Days_Available,Previous_Day_Output,Output_Change_From_Previous,Trailing_3D_Avg_Output,Trailing_3D_Output_Std,Trailing_3D_Avg_Gap_Pct,Trailing_3D_Emergency_Days,Trailing_3D_Worker_Shortage_Days,Trailing_3D_Machine_Breakdown_Days,Trailing_3D_Quality_Limit_Days,Days_Since_Last_Emergency,Emergency_Within_1_Day,Emergency_Within_3_Days,First_Emergency_Type_Within_3_Days,First_Emergency_Lead_Days,Worker_Shortage_Within_3_Days,Machine_Breakdown_Within_3_Days,Quality_Limit_Within_3_Days,Output_Schedule_Risk_Within_3_Days
BULK0001,AH2495,2024-07-01,430.0,438.0,-8.0,-1.86,4.0,13.0,0.2857,1.0,108.0,107.0,0.93,1.0162,45992.0,46430.0,425.9,-4.1,438.0,1.0,0.0,1,438.0,0.0,438.0,0.0,-1.86,0,0,0,0,1,1,1,Working Hours Issue,1,1,0,0,1
BULK0001,AH2495,2024-07-08,430.0,461.0,-31.0,-7.21,7.0,13.0,0.5,6.0,108.0,102.0,5.56,1.0696,43961.0,46430.0,426.8,-3.2,2469.0,1.0,0.0,3,403.0,58.0,404.0,46.1375,6.0467,2,1,0,0,1,1,1,Worker Issue,1,1,0,1,0
BULK0001,AH2495,2024-07-11,430.0,460.0,-30.0,-6.98,7.0,13.0,0.5,9.0,108.0,99.0,8.33,1.0673,42737.0,46430.0,427.4,-2.6,3693.0,1.0,0.0,3,363.0,97.0,408.0,39.9082,5.1133,2,1,0,1,1,1,1,Worker Issue,1,1,0,1,0
BULK0001,AH2495,2024-07-15,430.0,443.0,-13.0,-3.02,5.0,13.0,0.3571,11.0,108.0,97.0,10.19,1.0278,41908.0,46430.0,427.6,-2.4,4522.0,1.0,0.0,3,386.0,57.0,429.6667,31.6474,0.0767,1,1,0,1,1,1,1,Working Hours Issue,1,1,0,1,0
BULK0001,AH2495,2024-07-22,430.0,457.0,-27.0,-6.28,8.0,13.0,0.5714,16.0,108.0,92.0,14.81,1.0603,39908.0,46430.0,429.1,-0.9,6522.0,1.0,0.0,3,386.0,71.0,406.6667,35.7802,5.4267,2,2,0,0,1,1,1,Worker Issue,1,1,0,1,0
BULK0001,AH2495,2024-07-25,430.0,458.0,-28.0,-6.51,0.0,13.0,0.0,19.0,108.0,89.0,17.59,1.0626,38624.0,46430.0,429.2,-0.8,7806.0,1.0,0.0,3,420.0,38.0,428.0,21.9697,0.4667,2,2,0,1,1,1,1,Worker Issue,1,1,0,1,0
BULK0001,AH2495,2024-07-29,430.0,444.0,-14.0,-3.26,13.0,13.0,0.9286,21.0,108.0,87.0,19.44,1.0302,37787.0,46430.0,429.4,-0.6,8643.0,1.0,0.0,3,393.0,51.0,431.6667,27.9325,-0.39,1,1,0,0,1,1,1,Working Hours Issue,1,1,1,1,0
BULK0001,AH2495,2024-08-05,430.0,431.0,-1.0,-0.23,5.0,13.0,0.3571,26.0,108.0,82.0,24.07,1.0,35887.0,46430.0,432.4,2.4,10543.0,0.0,1.0,3,390.0,41.0,362.0,70.6022,15.8133,2,1,1,1,1,1,1,Worker Issue,1,1,0,0,0
BULK0001,AH2495,2024-08-08,430.0,464.0,-34.0,-7.91,4.0,13.0,0.2857,29.0,108.0,79.0,26.85,1.0766,34581.0,46430.0,432.3,2.3,11849.0,0.0,1.0,3,417.0,47.0,435.3333,20.5318,-1.2433,2,2,0,0,1,1,1,Working Hours Issue,1,1,0,1,0
BULK0001,AH2495,2024-08-12,430.0,454.0,-24.0,-5.58,10.0,13.0,0.7143,31.0,108.0,77.0,28.7,1.0534,33717.0,46430.0,432.3,2.3,12713.0,0.0,1.0,3,410.0,44.0,442.6667,23.4568,-2.9467,1,1,0,0,1,1,1,Working Hours Issue,1,1,1,1,0
BULK0001,AH2495,2024-08-19,430.0,463.0,-33.0,-7.67,4.0,13.0,0.2857,36.0,108.0,72.0,33.33,1.0742,31722.0,46430.0,434.5,4.5,14708.0,0.0,1.0,3,409.0,54.0,399.3333,56.3462,7.1333,2,1,1,1,1,1,1,Worker Issue,1,1,0,1,0
BULK0001,AH2495,2024-08-22,430.0,461.0,-31.0,-7.21,12.0,13.0,0.8571,39.0,108.0,69.0,36.11,1.0696,30479.0,46430.0,435.4,5.4,15951.0,0.0,1.0,3,364.0,97.0,414.3333,39.6849,3.6433,2,1,0,2,1,1,1,Worker Issue,1,1,0,1,0
BULK0001,AH2495,2024-08-26,430.0,444.0,-14.0,-3.26,1.0,13.0,0.0714,41.0,108.0,67.0,37.96,1.0302,29660.0,46430.0,436.2,6.2,16770.0,0.0,1.0,3,375.0,69.0,426.6667,37.1872,0.7733,1,1,0,1,1,1,1,Working Hours Issue,1,1,1,1,0
BULK0001,AH2495,2024-09-02,430.0,459.0,-29.0,-6.74,2.0,13.0,0.1429,46.0,108.0,62.0,42.59,1.065,27706.0,46430.0,439.8,9.8,18724.0,0.0,1.0,3,396.0,63.0,383.0,67.9853,10.9333,2,1,1,1,1,1,1,Worker Issue,1,1,0,1,0
